Bat Speed (mph),Attack Angle (deg),Time to Contact (sec),Peak Hand Speed (mph),Blast Factor,On Plane (%),Power (kW),Peak Bat Speed (mph),Body Rotation (%),Vertical Bat Angle (deg),Spring wOBA
69.4,8,0.18,20.9,69,0.17,3.46,69.4,0.40,-24,0.161
67.5,2,0.18,19.9,74,0.31,3.35,67.5,0.44,-23,0.161
68.3,5,0.18,19.9,75,0.33,3.36,68.3,0.43,-30,0.161
67.8,1,0.18,19.2,71,0.30,3.38,67.8,0.43,-29,0.161
65.9,3,0.17,18.6,71,0.25,3.27,65.9,0.44,-12,0.161
66.6,6,0.17,19,72,0.17,3.3,66.6,0.43,-24,0.161
67.5,5,0.17,19.3,76,0.30,3.4,67.5,0.44,-29,0.161
67.1,1,0.17,19.2,78,0.34,3.52,67.1,0.46,-29,0.161
66.3,6,0.19,19.1,68,0.26,3.06,66.3,0.42,-16,0.161
66.5,5,0.19,20.9,70,0.27,3.08,66.5,0.44,-23,0.161
69.6,9,0.16,20.6,83,0.45,4.02,69.6,0.40,-30,0.295
69.7,15,0.16,21.9,79,0.23,3.94,69.7,0.43,-21,0.295
70.2,7,0.15,23,88,0.33,4.32,70.2,0.45,-32,0.295
69.5,11,0.15,22.6,90,0.37,4.12,69.5,0.47,-22,0.295
66.9,8,0.16,21.7,81,0.37,3.71,66.9,0.42,-27,0.295
67.4,11,0.15,22.5,88,0.35,3.87,67.4,0.48,-28,0.295
67.5,6,0.15,21.2,89,0.35,3.94,67.5,0.46,-36,0.295
70,14,0.16,21.2,86,0.34,4.02,70,0.44,-24,0.295
64.5,10,0.16,20.2,72,0.32,3.37,64.5,0.41,-27,0.295
66.5,9,0.16,21.3,80,0.33,3.67,66.5,0.43,-36,0.295
68,12,0.16,20.8,82,0.47,3.75,68,0.41,-28,0.295
70,12,0.15,23.4,92,0.46,4.23,70,0.46,-32,0.295
71.8,13,0.16,24.2,89,0.45,4.17,71.8,0.44,-41,0.295
66.1,8,0.15,22.2,87,0.40,3.67,66.1,0.47,-35,0.295
71.2,6,0.15,23.4,92,0.47,4.45,71.2,0.46,-42,0.295
69.3,10,0.15,22.8,91,0.41,4.05,69.3,0.46,-27,0.295
69,11,0.15,22.2,91,0.41,4.07,69,0.45,-23,0.295
65.9,11,0.16,20.5,85,0.38,3.61,65.9,0.46,-28,0.295
64.7,10,0.16,19.9,85,0.43,3.48,64.7,0.45,-25,0.295
66,10,0.16,21.2,79,0.40,3.62,66,0.42,-37,0.295
69.9,11,0.16,22.2,87,0.38,4.01,69.9,0.44,-27,0.295
68.3,9,0.15,22.8,89,0.41,3.97,68.3,0.45,-27,0.295
67.5,5,0.15,22.2,87,0.38,3.88,67.5,0.46,-33,0.295
64.2,3,0.15,21.3,79,0.40,3.61,64.2,0.44,-36,0.295
67.3,10,0.15,22.1,88,0.40,3.81,67.3,0.47,-30,0.295
71,9,0.15,22.9,85,0.33,4.42,71,0.44,-35,0.295
69.3,5,0.15,22.9,87,0.44,4.14,69.3,0.43,-30,0.295
73.1,10,0.15,23.3,85,0.44,4.49,73.1,0.41,-31,0.295
63.4,7,0.15,21.5,85,0.46,3.39,63.4,0.46,-31,0.295
65.8,9,0.15,21.5,95,0.63,3.65,65.8,0.47,-33,0.295
71.7,7,0.14,23.9,93,0.49,4.7,71.7,0.47,-37,0.295
63.4,5,0.15,22.2,88,0.51,3.52,63.4,0.49,-30,0.295
70.6,8,0.14,24.2,92,0.46,4.55,70.6,0.48,-33,0.295
70.6,8,0.15,23.5,88,0.39,4.25,70.6,0.44,-44,0.295
70.9,15,0.15,22.9,90,0.42,4.28,70.9,0.47,-36,0.295
72.2,12,0.15,23.5,90,0.48,4.39,72.2,0.44,-35,0.295
69.1,12,0.15,22.5,91,0.40,4.02,69.1,0.46,-29,0.295
65,2,0.14,22.7,87,0.49,3.8,65,0.46,-33,0.295
71,6,0.15,24,91,0.44,4.47,71,0.45,-45,0.295
67,10,0.15,22.8,89,0.39,3.93,67,0.47,-32,0.295
68.9,6,0.15,22,88,0.45,4.16,68.9,0.44,-38,0.295
71,10,0.15,22.9,90,0.48,4.36,71,0.44,-31,0.295
70.3,17,0.15,22.7,88,0.42,4.22,70.3,0.46,-24,0.295
73.6,8,0.14,24.7,89,0.46,4.88,73.6,0.44,-39,0.295
73.9,10,0.15,25.7,94,0.51,4.78,73.9,0.45,-29,0.295
70.3,9,0.15,23.9,92,0.45,4.32,70.3,0.46,-27,0.295
67.8,6,0.15,23.3,93,0.48,4.08,67.8,0.46,-41,0.295
69.9,8,0.15,23.1,94,0.51,4.28,69.9,0.46,-34,0.295
69.6,8,0.15,22.6,89,0.48,4.18,69.6,0.44,-38,0.295
69.3,8,0.15,22.7,85,0.44,4.04,69.3,0.42,-36,0.295
70.2,1,0.15,21.3,83,0.31,4.39,70.2,0.46,-27,0.47
70.3,1,0.15,21.6,81,0.29,4.23,70.3,0.45,-34,0.47
66.2,1,0.15,20,80,0.30,3.8,66.2,0.47,-30,0.47
64.9,6,0.16,18.9,82,0.31,3.55,64.9,0.48,-19,0.47
68.4,2,0.15,20,84,0.33,4.22,68.4,0.46,-31,0.47
67.2,7,0.16,19.5,85,0.31,3.81,67.2,0.48,-26,0.47
70.4,5,0.16,20.7,88,0.33,4.19,70.4,0.46,-30,0.47
68,1,0.14,19.9,86,0.42,4.23,68,0.48,-28,0.47
64.8,8,0.17,18,79,0.31,3.33,64.8,0.46,-21,0.47
68.8,3,0.16,18.6,91,0.55,3.8,68.8,0.45,-26,0.47
64.1,3,0.16,19.4,69,0.12,3.3,64.1,0.44,-4,0.47
68.4,2,0.17,20.6,66,0.13,3.58,68.4,0.39,-16,0.47
65,9,0.17,18.9,67,0.08,3.19,65,0.41,-8,0.47
64,3,0.16,18.9,69,0.11,3.41,64,0.42,-4,0.47
68.3,6,0.16,20.1,83,0.11,3.89,68.3,0.46,-7,0.47
72.1,2,0.15,22.8,68,0.10,4.45,72.1,0.32,-13,0.47
69.3,6,0.16,20.2,73,0.12,4.01,69.3,0.37,-9,0.47
66.1,1,0.16,18.8,73,0.17,3.69,66.1,0.44,-14,0.47
71.5,5,0.15,21,77,0.18,4.44,71.5,0.42,-15,0.47
64,8,0.16,18.7,77,0.10,3.41,64.1,0.45,-15,0.47
68.2,13,0.17,21.1,79,0.33,3.69,68.2,0.53,-12,0.47
63.9,7,0.15,20.6,78,0.40,3.63,63.9,0.54,-22,0.47
68,9,0.16,21.4,78,0.35,3.9,68,0.56,-24,0.47
64.3,10,0.16,19.7,76,0.30,3.49,64.3,0.52,-22,0.47
67.8,13,0.15,22.3,80,0.34,3.94,67.8,0.54,-17,0.47
72.3,10,0.16,21.4,90,0.40,4.2,72.3,0.49,-27,0.47
37.7,12,0.16,21.8,43,0.47,1.17,70.5,0.52,-19,0.47
67.7,11,0.16,20.6,85,0.38,3.73,67.7,0.51,-21,0.47
63.8,9,0.16,20,81,0.32,3.43,63.8,0.49,-31,0.47
